,day_of_week,hour,state,road_type,junction_type,weather_condition,road_condition,light_condition,speed_kmh,speed_limit_kmh,visibility_m,num_vehicles,driver_age,driver_experience_yrs,vehicle_type,alcohol_involved,seatbelt_worn,num_casualties,accident_severity,speed_excess_kmh,is_night
0,6,0,5,1,3,2,0,3,53.23,50,791.6,1,66.0,5.7,0,1.0,1.0,0.0,0,3.229999999999997,1
1,2,16,3,0,0,3,0,2,139.13,80,310.1,3,46.0,6.1,3,0.0,1.0,4.0,2,59.129999999999995,0
2,4,10,0,4,3,2,0,4,100.97,60,501.2,4,52.0,18.8,3,0.0,0.0,3.0,2,40.97,0
3,4,19,2,4,3,0,4,1,59.95,30,443.3,4,28.0,13.1,2,0.0,1.0,0.0,1,29.950000000000003,0
4,6,7,6,4,0,0,4,1,53.25,50,882.9,1,39.0,15.1,1,0.0,1.0,0.0,0,3.25,0
5,1,16,2,4,0,5,0,4,37.02,50,726.8,1,28.0,0.0,1,0.0,1.0,0.0,0,0.0,0
6,2,14,4,2,0,0,3,1,35.0,60,787.1,1,26.0,19.8,1,1.0,1.0,0.0,0,0.0,0
7,3,5,0,1,0,1,0,3,107.6,60,221.5,1,37.0,11.6,5,1.0,0.0,3.0,2,47.599999999999994,1
8,6,9,4,4,0,2,4,3,111.87,30,110.6,1,31.0,3.9,4,0.0,1.0,6.0,2,81.87,0
9,4,11,5,2,2,2,0,1,45.68,60,824.5,1,37.0,9.6,2,0.0,0.0,0.0,0,0.0,0
10,0,17,4,3,1,0,1,1,55.58,50,747.6,1,32.0,12.0,5,0.0,1.0,1.0,0,5.579999999999998,0
11,0,8,1,0,3,1,4,3,62.93,50,532.6,1,43.0,0.0,1,0.0,1.0,0.0,1,12.93,0
12,1,19,5,3,0,4,3,3,80.45,100,423.7,4,16.0,16.8,1,0.0,1.0,4.0,1,0.0,0
13,0,16,0,0,1,3,1,1,53.98,80,501.2,3,54.0,10.1,2,0.0,1.0,2.0,1,0.0,0
14,0,6,2,0,1,5,4,3,55.51,80,533.0,1,30.0,15.8,2,1.0,1.0,1.0,1,0.0,0
15,3,12,3,1,3,2,4,0,63.9,50,403.2,2,52.0,15.6,4,0.0,1.0,1.0,1,13.899999999999999,0
16,3,7,0,1,0,1,4,3,97.73,50,240.0,5,43.0,10.1,4,0.0,0.0,5.0,2,47.730000000000004,0
17,0,16,5,4,0,0,4,3,113.59,50,273.3,2,52.0,10.1,0,0.0,0.0,7.5,2,63.59,0
18,1,1,2,1,1,0,3,3,40.6,30,849.0,1,37.0,13.5,5,0.0,1.0,1.0,0,10.600000000000001,1
19,3,12,0,3,1,0,3,1,52.74,60,768.9,1,34.0,12.4,0,0.0,1.0,0.0,0,0.0,0
20,1,12,2,4,0,5,4,4,70.7,50,501.2,3,32.0,12.2,5,0.0,1.0,0.0,1,20.700000000000003,0
21,0,0,2,2,3,2,0,1,70.7,80,477.1,1,50.0,13.5,2,0.0,0.0,1.0,1,0.0,1
22,6,8,2,4,2,2,0,2,69.62,80,527.0,2,40.0,17.5,3,0.0,1.0,4.0,1,0.0,0
23,0,18,2,2,1,0,4,2,84.77,50,644.0,3,56.0,7.9,4,0.0,0.0,4.0,1,34.769999999999996,0
24,2,14,1,0,2,0,0,3,101.73,50,189.6,4,32.0,7.7,5,0.0,0.0,5.0,2,51.730000000000004,0
25,6,16,2,0,0,0,1,2,36.2,60,804.8,4,37.0,10.9,1,1.0,0.0,0.0,0,0.0,0
26,1,9,4,4,0,0,1,0,43.67,80,746.6,1,42.0,5.3,5,0.0,0.0,0.0,0,0.0,0
27,5,4,0,4,0,0,4,3,46.31,60,478.1,6,43.0,8.1,0,0.0,1.0,0.0,1,0.0,1
28,3,23,3,3,0,2,0,1,68.82,100,501.2,1,42.0,0.0,5,0.0,1.0,3.0,1,0.0,1
29,2,19,0,2,0,3,1,3,29.68,100,842.5,4,21.0,10.0,4,0.0,0.0,0.0,0,0.0,0
30,0,20,3,1,0,4,0,4,80.66,120,524.2,4,40.0,6.4,2,0.0,1.0,1.0,1,0.0,0
31,2,6,5,2,2,4,0,0,45.97,50,977.6,1,38.0,4.7,3,0.0,1.0,1.0,0,0.0,0
32,4,12,3,3,0,1,3,3,60.92,50,740.3,1,38.0,4.2,0,0.0,1.0,0.0,0,10.920000000000002,0
33,6,16,2,1,1,2,0,4,131.86,30,273.4,5,37.0,0.0,5,0.0,0.0,6.0,2,101.86000000000001,0
34,5,20,6,2,1,5,0,1,108.08,50,231.5,4,39.0,21.2,4,0.0,1.0,6.0,2,58.08,0
35,4,9,5,0,1,5,4,1,70.7,60,388.8,4,45.0,4.2,5,0.0,1.0,6.0,2,10.700000000000003,0
36,6,14,3,4,0,0,4,1,98.28,50,501.2,2,23.0,11.8,5,0.0,0.0,2.0,2,48.28,0
37,0,0,3,1,3,2,1,4,115.61,60,306.8,6,25.0,1.9,3,0.0,1.0,2.0,2,55.61,1
38,6,20,3,3,0,2,0,3,47.77,120,792.7,1,41.0,2.3,3,0.0,1.0,0.0,0,0.0,0
39,4,11,3,1,0,3,2,0,44.01,60,764.1,1,21.0,9.7,5,0.0,1.0,0.0,0,0.0,0
40,4,4,1,3,0,0,0,1,70.7,60,692.5,1,51.0,10.1,3,0.0,1.0,4.0,1,10.700000000000003,1
41,6,7,2,4,2,2,0,1,68.03,100,439.2,2,47.0,8.3,4,1.0,0.0,2.0,1,0.0,0
42,2,18,2,4,0,0,1,3,79.19,120,362.8,1,26.0,12.4,4,0.0,1.0,1.0,1,0.0,0
43,1,4,0,2,0,4,0,2,75.24,100,347.2,1,33.0,4.7,4,0.0,1.0,4.0,1,0.0,1
44,6,7,3,3,3,3,0,1,55.75,30,762.9,1,40.0,21.0,5,0.0,1.0,0.0,0,25.75,0
45,0,13,2,1,0,3,2,3,97.82,50,315.4,4,54.0,9.0,0,0.0,0.0,2.0,2,47.81999999999999,0
46,3,2,2,4,3,2,4,1,39.0,80,709.8,1,47.0,9.3,2,0.0,1.0,1.0,0,0.0,1
