accident_id,date,time,day_of_week,hour,state,road_type,junction_type,weather_condition,road_condition,light_condition,speed_kmh,speed_limit_kmh,visibility_m,num_vehicles,driver_age,driver_experience_yrs,vehicle_type,alcohol_involved,seatbelt_worn,num_casualties,redundant_record_id,system_flag,random_noise_code,useless_ratio,accident_severity
ACC06301,2022-09-21,00:00,Wednesday,0,Tx,Highway,T-Junction,Rainy,Dry,Night - Lit,53.23,50,791.6,1,68.0,5.7,Bus,1.0,,0,6301,PROCESSED,491179,0.4307,Minor
ACC00568,2022-08-04,16:00,Saturday,16,ny,Expressway,None,Snowy,Dry,Dusk,139.13,80,310.1,3,46.0,6.1,SUV,0.0,1.0,4,568,PROCESSED,536127,0.7789,Severe
ACC06208,2020-01-28,10:00,Thursday,10,CA,Urban Road,T-Junction,Rainy,Dry,Night - Unlit,100.97,60,,4,52.0,18.8,SUV,,0.0,3,6208,PROCESSED,941209,0.8207,Severe
ACC01115,2020-01-20,19:00,Thursday,19,Ill.,Urban Road,T-Junction,Clear,Wet,Daylight,59.95,30,443.3,4,28.0,13.1,Motorcycle,0.0,,0,1115,PROCESSED,307852,0.1462,Moderate
ACC03379,2021-03-27,07:00,Wednesday,7,WA,Urban Road,Crossroads,Clear,Wet,Daylight,53.25,50,882.9,1,39.0,15.1,Car,,1.0,0,3379,PROCESSED,282888,0.7971,Minor
ACC03182,2022-10-08,16:00,Monday,16,IL,Urban Road,Crossroads,Windy,Dry,Night - Unlit,37.02,50,726.8,1,28.0,0.0,Car,,1.0,0,3182,PROCESSED,796796,0.6233,Minor
ACC05064,2021-05-20,14:00,Saturday,14,Ohio,One-way,Crossroads,Clear,Under Construction,Daylight,35.0,60,787.1,1,26.0,19.8,Car,1.0,1.0,0,5064,PROCESSED,749079,0.7113,Minor
ACC07788,2022-11-30,05:00,Sunday,5,CA,Highway,Crossroads,Foggy,,Night - Lit,107.6,60,221.5,1,,11.6,Van,1.0,0.0,3,7788,PROCESSED,395004,0.424,Severe
ACC00686,2022-02-22,09:00,Wednesday,9,OH,Urban Road,None,Rainy,Wet,Night - Lit,111.87,30,110.6,1,31.0,3.9,Truck,0.0,1.0,6,686,PROCESSED,710058,0.3371,Severe
ACC04891,2022-08-28,11:00,Thursday,11,Texas,One-way,Slip Road,Rainy,Dry,Daylight,45.68,60,824.5,1,,9.6,Motorcycle,0.0,0.0,0,4891,PROCESSED,683897,0.2016,Minor
ACC00095,2023-08-12,17:00,Friday,17,Ohio,Rural Road,Roundabout,Clear,Icy,Daylight,55.58,50,747.6,1,32.0,12.0,Van,0.0,1.0,1,95,PROCESSED,887262,0.2631,Minor
ACC06895,2021-07-20,08:00,Friday,8,fl,Expressway,T-Junction,Foggy,Wet,Night - Lit,62.93,50,532.6,1,43.0,0.0,Car,0.0,1.0,0,6895,PROCESSED,801014,0.7263,Moderate
ACC07138,2022-12-07,19:00,Monday,19,Tx,Rural Road,Crossroads,Storm,Under Construction,Night - Lit,80.45,100,423.7,4,16.0,16.8,Car,0.0,1.0,4,7138,PROCESSED,426900,0.4314,Moderate
ACC02945,2022-05-29,16:00,Friday,16,California,Expressway,Roundabout,Snowy,Icy,,53.98,80,,3,54.0,,Motorcycle,0.0,1.0,2,2945,PROCESSED,853823,0.6401,Moderate
ACC05772,2021-08-03,06:00,Friday,6,Illinois,Expressway,Roundabout,Windy,Wet,Night - Lit,55.51,80,533.0,1,30.0,15.8,Motorcycle,1.0,1.0,1,5772,PROCESSED,133122,0.8331,Moderate
ACC01416,2022-11-25,12:00,Sunday,12,N.Y.,Highway,T-Junction,Rainy,Wet,Dawn,63.9,50,403.2,2,52.0,15.6,Truck,0.0,1.0,1,1416,PROCESSED,270759,0.8203,Moderate
ACC06537,2021-10-28,07:00,Sunday,7,CA.,Highway,Crossroads,foggy,Wet,Night - Lit,97.73,50,240.0,5,43.0,,Truck,,0.0,5,6537,PROCESSED,850188,0.7838,Severe
ACC06668,2022-12-22,16:00,Friday,16,TX,Urban Road,Crossroads,Clear,Wet,Night - Lit,113.59,50,273.3,2,52.0,,Bus,0.0,0.0,9,6668,PROCESSED,807539,0.0753,Severe
ACC04775,2020-03-31,01:00,Monday,1,IL,Highway,Roundabout,,Under Construction,Night - Lit,40.6,30,849.0,1,,13.5,Van,0.0,1.0,1,4775,PROCESSED,834402,0.0522,Minor
ACC02173,2022-08-13,12:00,Sunday,12,CA.,Rural Road,Roundabout,,Under Construction,Daylight,52.74,60,768.9,1,34.0,12.4,Bus,0.0,1.0,0,2173,PROCESSED,136979,0.1921,Minor
ACC02890,2021-12-17,12:00,Monday,12,Ill.,Urban Road,None,Windy,Wet,Night - Unlit,,50,,3,32.0,12.2,Van,0.0,1.0,0,2890,PROCESSED,587396,0.6923,Moderate
ACC00572,2020-11-02,00:00,Friday,0,Illinois,One-way,T-Junction,Rainy,Dry,Daylight,,80,477.1,1,50.0,13.5,Motorcycle,0.0,0.0,1,572,PROCESSED,156034,0.3934,Moderate
ACC03896,2020-01-06,08:00,Wednesday,8,Illinois,Urban Road,Slip Road,Rainy,Dry,Dusk,69.62,80,527.0,2,40.0,17.5,,0.0,1.0,4,3896,PROCESSED,480170,0.8963,Moderate
ACC05588,2022-12-04,18:00,Friday,18,Ill.,One-way,Roundabout,Clear,Wet,Dusk,84.77,50,644.0,3,56.0,7.9,Truck,0.0,0.0,4,5588,PROCESSED,345226,0.7104,Moderate
ACC04356,2023-01-29,14:00,Saturday,14,FL,Expressway,Slip Road,Clear,Dry,Night - Lit,101.73,50,189.6,4,32.0,7.7,Van,0.0,0.0,5,4356,PROCESSED,771459,0.0156,Severe
ACC02835,2021-03-07,16:00,Wednesday,16,Illinois,Expressway,Crossroads,clear,Icy,Dusk,36.2,60,804.8,4,,10.9,Car,1.0,0.0,0,2835,PROCESSED,896950,0.7125,Minor
ACC05809,2020-02-17,09:00,Monday,9,Ohio,Urban Road,None,,Icy,Dawn,43.67,80,746.6,1,42.0,5.3,Van,0.0,0.0,0,5809,PROCESSED,887270,0.7772,Minor
ACC01210,2021-04-12,04:00,Tuesday,4,California,Urban Road,None,Clear,Wet,Night - Lit,46.31,60,478.1,6,43.0,8.1,Bus,,1.0,0,1210,PROCESSED,189285,0.4403,Moderate
ACC00075,2021-12-21,23:00,Sunday,23,NY,Rural Road,None,Rainy,Dry,,68.82,100,,1,42.0,0.0,Van,0.0,1.0,3,75,PROCESSED,490402,0.7514,Moderate
ACC00737,2023-07-06,19:00,Saturday,19,California,One-way,None,Snow,Icy,Night - Lit,29.68,100,842.5,4,21.0,10.0,Truck,0.0,0.0,0,737,PROCESSED,265211,0.5394,Minor
ACC03311,2020-09-28,20:00,Friday,20,NY,Highway,None,Stormy,Dry,Night - Unlit,80.66,120,524.2,4,40.0,6.4,Motorcycle,0.0,1.0,1,3311,PROCESSED,731238,0.6066,Moderate
ACC03848,2021-04-29,06:00,Saturday,6,Tx,One-way,Slip Road,Stormy,,Dawn,45.97,50,977.6,1,38.0,4.7,SUV,0.0,1.0,1,3848,PROCESSED,336844,0.6636,Minor
ACC02185,2021-01-29,12:00,Thursday,12,New York,Rural Road,Crossroads,Foggy,Under Construction,Night - Lit,60.92,50,740.3,1,38.0,4.2,Bus,0.0,1.0,0,2185,PROCESSED,821720,0.2183,Minor
ACC04340,2020-07-16,16:00,Wednesday,16,Ill.,Highway,Roundabout,Rainy,Dry,Night - Unlit,131.86,30,273.4,5,,0.0,Van,0.0,0.0,6,4340,PROCESSED,923222,0.1358,Severe
ACC01522,2023-02-11,20:00,Tuesday,20,WA,One-way,Roundabout,windy,Dry,,108.08,50,231.5,4,39.0,21.2,Truck,0.0,1.0,6,1522,PROCESSED,156754,0.298,Severe
ACC04740,2023-09-18,09:00,Thursday,9,Tx,Expressway,Roundabout,High Wind,Wet,Daylight,,60,388.8,4,45.0,4.2,Van,0.0,1.0,6,4740,PROCESSED,672428,0.1055,Severe
ACC07029,2022-05-07,14:00,Wednesday,14,NY,Urban Road,Crossroads,Clear,Wet,Daylight,98.28,50,,2,23.0,11.8,Van,0.0,0.0,2,7029,PROCESSED,408211,0.9015,Severe
ACC01748,2023-09-08,00:00,Friday,0,N.Y.,Highway,T-Junction,Rainy,Icy,Night - Unlit,115.61,60,306.8,6,25.0,1.9,,0.0,,2,1748,PROCESSED,459666,0.1955,Severe
ACC07045,2022-03-04,20:00,Wednesday,20,New York,Rural Road,None,Rainy,,Night - Lit,47.77,120,792.7,1,41.0,2.3,SUV,,1.0,0,7045,PROCESSED,660978,0.6726,Minor
ACC06723,2020-02-27,11:00,Thursday,11,ny,Highway,None,Snowy,Potholed,Dawn,44.01,60,764.1,1,21.0,9.7,Van,0.0,1.0,0,6723,PROCESSED,155882,0.195,Minor
ACC03590,2023-07-04,04:00,Thursday,4,FL,Rural Road,Crossroads,,Dry,,,60,692.5,1,51.0,10.1,SUV,0.0,1.0,4,3590,PROCESSED,993527,0.6277,Moderate
ACC07751,2022-08-15,07:00,Wednesday,7,IL,Urban Road,Slip Road,Wet Weather,Dry,Daylight,68.03,100,439.2,2,47.0,8.3,Truck,1.0,0.0,2,7751,PROCESSED,749870,0.6483,Moderate
ACC05798,2021-08-27,18:00,Saturday,18,Illinois,Urban Road,Crossroads,Clear,Icy,Night - Lit,79.19,120,362.8,1,26.0,12.4,Truck,0.0,,1,5798,PROCESSED,796893,0.4277,Moderate
ACC06231,2020-01-07,04:00,Monday,4,CA.,One-way,None,Storm,Dry,Dusk,75.24,100,347.2,1,33.0,4.7,Truck,,1.0,4,6231,PROCESSED,161558,0.6366,Moderate
ACC06207,2023-05-29,07:00,Wednesday,7,New York,Rural Road,T-Junction,Snowy,Dry,,55.75,30,762.9,1,40.0,21.0,Van,0.0,1.0,0,6207,PROCESSED,943325,0.8907,Minor
ACC04464,2022-09-13,13:00,Friday,13,IL,Highway,None,Snowy,Potholed,Night - Lit,97.82,50,315.4,4,54.0,9.0,Bus,0.0,0.0,2,4464,PROCESSED,912252,0.2568,Severe
ACC03156,2022-12-29,02:00,Sunday,2,Ill.,Urban Road,T-Junction,Rainy,Wet,Daylight,39.0,80,709.8,1,47.0,9.3,Motorcycle,0.0,,1,3156,PROCESSED,276771,0.8934,Minor
ACC05513,2022-01-01,02:00,Thursday,2,WA,Highway,Crossroads,Raining,Dry,Daylight,43.52,80,,1,34.0,5.3,,0.0,1.0,1,5513,PROCESSED,721445,0.7878,Minor
ACC01249,2022-03-21,09:00,Wednesday,9,N.Y.,One-way,Slip Road,Snowy,Wet,Dusk,54.95,50,746.3,1,28.0,15.6,Motorcycle,0.0,0.0,0,1249,PROCESSED,271374,0.9123,Minor
ACC06474,2021-04-14,19:00,Thursday,19,NY,One-way,None,Raining,Dry,Night - Lit,,30,413.9,2,45.0,11.0,Motorcycle,0.0,0.0,1,6474,PROCESSED,159138,0.9312,Moderate
ACC06704,2023-11-25,19:00,Wednesday,19,IL,One-way,Crossroads,Clear,Wet,Night - Unlit,106.17,50,238.3,3,34.0,13.4,Car,0.0,,4,6704,PROCESSED,702713,0.7475,Severe
ACC00404,2022-11-01,10:00,Monday,10,Texas,One-way,Roundabout,Foggy,Icy,Night - Unlit,54.46,50,793.9,1,42.0,3.0,Truck,0.0,1.0,1,404,PROCESSED,746127,0.0138,Minor
ACC07133,2020-10-21,11:00,Sunday,11,New York,Urban Road,T-Junction,Thunderstorm,Dry,Daylight,,60,501.3,3,,11.8,Motorcycle,0.0,0.0,1,7133,PROCESSED,630905,0.4305,Moderate
